Q core socket tempC time
QQQ 4 0 38 1.31
QQQ 5 0 33 1.31
QQQ 6 0 39 1.31
QQQ 7 0 43 1.31
QQQ 0 1 39 1.31
QQQ 1 1 44 1.31
QQQ 2 1 35 1.31
QQQ 3 1 40 1.31
QQQ 4 1 37 1.31
QQQ 5 1 33 1.31
QQQ 6 1 36 1.31
QQQ 7 1 30 1.31
QQQ 0 0 43 1.41
QQQ 1 0 39 1.41
QQQ 2 0 41 1.41
QQQ 3 0 35 1.41
QQQ 4 0 38 1.41
QQQ 5 0 33 1.41
QQQ 6 0 39 1.41
QQQ 7 0 43 1.41
QQQ 0 1 39 1.41
QQQ 1 1 43 1.41
QQQ 2 1 34 1.41
QQQ 3 1 39 1.41
QQQ 4 1 37 1.41
QQQ 5 1 33 1.41
QQQ 6 1 36 1.41
QQQ 7 1 30 1.41
QQQ 0 0 43 1.51
QQQ 1 0 39 1.51
QQQ 2 0 42 1.51
QQQ 3 0 35 1.51
QQQ 4 0 38 1.51
QQQ 5 0 33 1.51
QQQ 6 0 40 1.51
QQQ 7 0 43 1.51
QQQ 0 1 39 1.51
QQQ 1 1 43 1.51
QQQ 2 1 35 1.51
QQQ 3 1 40 1.51
QQQ 4 1 37 1.51
QQQ 5 1 32 1.51
QQQ 6 1 36 1.51
QQQ 7 1 31 1.51
QQQ 0 0 42 1.61
QQQ 1 0 39 1.61
QQQ 2 0 41 1.61
QQQ 3 0 35 1.61
QQQ 4 0 38 1.61
QQQ 5 0 33 1.61
QQQ 6 0 40 1.61
QQQ 7 0 43 1.61
QQQ 0 1 39 1.61
QQQ 1 1 43 1.61
QQQ 2 1 35 1.61
QQQ 3 1 39 1.61
QQQ 4 1 37 1.61
QQQ 5 1 33 1.61
QQQ 6 1 37 1.61
QQQ 7 1 30 1.61
QQQ 0 0 42 1.71
QQQ 1 0 39 1.71
QQQ 2 0 41 1.71
QQQ 3 0 34 1.71
QQQ 4 0 37 1.71
QQQ 5 0 34 1.71
QQQ 6 0 41 1.71
QQQ 7 0 43 1.71
QQQ 0 1 39 1.71
QQQ 1 1 43 1.71
QQQ 2 1 35 1.71
QQQ 3 1 40 1.71
QQQ 4 1 37 1.71
QQQ 5 1 33 1.71
QQQ 6 1 36 1.71
QQQ 7 1 30 1.71
QQQ 0 0 43 1.81
QQQ 1 0 38 1.81
QQQ 2 0 43 1.81
QQQ 3 0 36 1.81
QQQ 4 0 39 1.81
QQQ 5 0 33 1.81
QQQ 6 0 39 1.81
QQQ 7 0 43 1.81
QQQ 0 1 39 1.81
QQQ 1 1 44 1.81
QQQ 2 1 35 1.81
QQQ 3 1 40 1.81
QQQ 4 1 37 1.81
QQQ 5 1 33 1.81
QQQ 6 1 36 1.81
QQQ 7 1 30 1.81
