Q core socket tempC time pkg_watts dram_watts
QQQ 0 0 27 0.00 NA NA 
QQQ 1 0 30 0.00 NA NA 
QQQ 2 0 33 0.00 NA NA 
QQQ 3 0 28 0.00 NA NA 
QQQ 4 0 30 0.00 NA NA 
QQQ 5 0 26 0.00 NA NA 
QQQ 6 0 32 0.00 NA NA 
QQQ 7 0 36 0.00 NA NA 
QQQ 0 1 29 0.00 NA NA 
QQQ 1 1 30 0.00 NA NA 
QQQ 2 1 27 0.00 NA NA 
QQQ 3 1 32 0.00 NA NA 
QQQ 4 1 30 0.00 NA NA 
QQQ 5 1 24 0.00 NA NA 
QQQ 6 1 28 0.00 NA NA 
QQQ 7 1 21 0.00 NA NA 
QQQ 0 0 32 0.10 NA NA 
QQQ 1 0 30 0.10 NA NA 
QQQ 2 0 33 0.10 NA NA 
QQQ 3 0 28 0.10 NA NA 
QQQ 4 0 31 0.10 NA NA 
QQQ 5 0 25 0.10 NA NA 
QQQ 6 0 31 0.10 NA NA 
QQQ 7 0 36 0.10 NA NA 
QQQ 0 1 30 0.10 NA NA 
QQQ 1 1 30 0.10 NA NA 
QQQ 2 1 26 0.10 NA NA 
QQQ 3 1 31 0.10 NA NA 
QQQ 4 1 29 0.10 NA NA 
QQQ 5 1 24 0.10 NA NA 
QQQ 6 1 29 0.10 NA NA 
QQQ 7 1 20 0.10 NA NA 
QQQ 0 0 34 0.20 NA NA 
QQQ 1 0 30 0.20 NA NA 
QQQ 2 0 34 0.20 NA NA 
QQQ 3 0 28 0.20 NA NA 
QQQ 4 0 30 0.20 NA NA 
QQQ 5 0 26 0.20 NA NA 
QQQ 6 0 32 0.20 NA NA 
QQQ 7 0 36 0.20 NA NA 
QQQ 0 1 29 0.20 NA NA 
QQQ 1 1 30 0.20 NA NA 
QQQ 2 1 26 0.20 NA NA 
QQQ 3 1 31 0.20 NA NA 
QQQ 4 1 30 0.20 NA NA 
QQQ 5 1 24 0.20 NA NA 
QQQ 6 1 28 0.20 NA NA 
QQQ 7 1 22 0.20 NA NA 
QQQ 0 0 34 0.30 NA NA 
QQQ 1 0 31 0.30 NA NA 
QQQ 2 0 34 0.30 NA NA 
QQQ 3 0 27 0.30 NA NA 
QQQ 4 0 30 0.30 NA NA 
QQQ 5 0 26 0.30 NA NA 
QQQ 6 0 32 0.30 NA NA 
QQQ 7 0 36 0.30 NA NA 
QQQ 0 1 30 0.30 NA NA 
QQQ 1 1 30 0.30 NA NA 
