Q core socket tempC time pkg_watts dram_watts
QQQ 2 1 27 0.30 NA NA 
QQQ 3 1 32 0.30 NA NA 
QQQ 4 1 29 0.30 NA NA 
QQQ 5 1 24 0.30 NA NA 
QQQ 6 1 27 0.30 NA NA 
QQQ 7 1 21 0.30 NA NA 
QQQ 0 0 35 0.40 NA NA 
QQQ 1 0 31 0.40 NA NA 
QQQ 2 0 34 0.40 NA NA 
QQQ 3 0 28 0.40 NA NA 
QQQ 4 0 31 0.40 NA NA 
QQQ 5 0 26 0.40 NA NA 
QQQ 6 0 32 0.40 NA NA 
QQQ 7 0 36 0.40 NA NA 
QQQ 0 1 30 0.40 NA NA 
QQQ 1 1 30 0.40 NA NA 
QQQ 2 1 27 0.40 NA NA 
QQQ 3 1 32 0.40 NA NA 
QQQ 4 1 30 0.40 NA NA 
QQQ 5 1 24 0.40 NA NA 
QQQ 6 1 27 0.40 NA NA 
QQQ 7 1 21 0.40 NA NA 
QQQ 0 0 35 0.50 NA NA 
QQQ 1 0 31 0.50 NA NA 
QQQ 2 0 34 0.50 NA NA 
QQQ 3 0 28 0.50 NA NA 
QQQ 4 0 31 0.50 NA NA 
QQQ 5 0 26 0.50 NA NA 
QQQ 6 0 32 0.50 NA NA 
QQQ 7 0 37 0.50 NA NA 
QQQ 0 1 30 0.50 NA NA 
QQQ 1 1 30 0.50 NA NA 
QQQ 2 1 27 0.50 NA NA 
QQQ 3 1 32 0.50 NA NA 
QQQ 4 1 30 0.50 NA NA 
QQQ 5 1 24 0.50 NA NA 
QQQ 6 1 29 0.50 NA NA 
QQQ 7 1 21 0.50 NA NA 
QQQ 0 0 35 0.60 NA NA 
QQQ 1 0 32 0.60 NA NA 
QQQ 2 0 34 0.60 NA NA 
QQQ 3 0 28 0.60 NA NA 
QQQ 4 0 30 0.60 NA NA 
QQQ 5 0 26 0.60 NA NA 
QQQ 6 0 32 0.60 NA NA 
QQQ 7 0 37 0.60 NA NA 
QQQ 0 1 30 0.60 NA NA 
QQQ 1 1 30 0.60 NA NA 
QQQ 2 1 26 0.60 NA NA 
QQQ 3 1 32 0.60 NA NA 
QQQ 4 1 30 0.60 NA NA 
QQQ 5 1 24 0.60 NA NA 
QQQ 6 1 27 0.61 NA NA 
QQQ 7 1 21 0.61 NA NA 
QQQ 0 0 35 0.71 NA NA 
QQQ 1 0 31 0.71 NA NA 
QQQ 2 0 35 0.71 NA NA 
QQQ 3 0 28 0.71 NA NA 
QQQ 4 0 31 0.71 NA NA 
QQQ 5 0 27 0.71 NA NA 
QQQ 6 0 32 0.71 NA NA 
QQQ 7 0 37 0.71 NA NA 
QQQ 0 1 30 0.71 NA NA 
QQQ 1 1 29 0.71 NA NA 
QQQ 2 1 28 0.71 NA NA 
QQQ 3 1 31 0.71 NA NA 
QQQ 4 1 30 0.71 NA NA 
QQQ 5 1 24 0.71 NA NA 
QQQ 6 1 29 0.71 NA NA 
QQQ 7 1 21 0.71 NA NA 
QQQ 0 0 35 0.81 NA NA 
QQQ 1 0 32 0.81 NA NA 
QQQ 2 0 35 0.81 NA NA 
QQQ 3 0 28 0.81 NA NA 
QQQ 4 0 31 0.81 NA NA 
QQQ 5 0 27 0.81 NA NA 
QQQ 6 0 32 0.81 NA NA 
QQQ 7 0 37 0.81 NA NA 
QQQ 0 1 30 0.81 NA NA 
QQQ 1 1 30 0.81 NA NA 
QQQ 2 1 27 0.81 NA NA 
QQQ 3 1 31 0.81 NA NA 
QQQ 4 1 29 0.81 NA NA 
QQQ 5 1 24 0.81 NA NA 
QQQ 6 1 28 0.81 NA NA 
QQQ 7 1 21 0.81 NA NA 
QQQ 0 0 36 0.91 NA NA 
QQQ 1 0 31 0.91 NA NA 
QQQ 2 0 34 0.91 NA NA 
QQQ 3 0 29 0.91 NA NA 
QQQ 4 0 30 0.91 NA NA 
QQQ 5 0 27 0.91 NA NA 
QQQ 6 0 32 0.91 NA NA 
QQQ 7 0 37 0.91 NA NA 
QQQ 0 1 30 0.91 NA NA 
QQQ 1 1 29 0.91 NA NA 
QQQ 2 1 27 0.91 NA NA 
QQQ 3 1 31 0.91 NA NA 
QQQ 4 1 29 0.91 NA NA 
QQQ 5 1 25 0.91 NA NA 
QQQ 6 1 28 0.91 NA NA 
QQQ 7 1 21 0.91 NA NA 
QQQ 0 0 36 1.01 NA NA 
QQQ 1 0 31 1.01 NA NA 
QQQ 2 0 34 1.01 NA NA 
QQQ 3 0 29 1.01 NA NA 
QQQ 4 0 30 1.01 NA NA 
QQQ 5 0 27 1.01 NA NA 
QQQ 6 0 33 1.01 NA NA 
QQQ 7 0 37 1.01 NA NA 
QQQ 0 1 30 1.01 NA NA 
QQQ 1 1 29 1.01 NA NA 
QQQ 2 1 27 1.01 NA NA 
QQQ 3 1 32 1.01 NA NA 
QQQ 4 1 29 1.01 NA NA 
QQQ 5 1 25 1.01 NA NA 
QQQ 6 1 27 1.01 NA NA 
QQQ 7 1 22 1.01 NA NA 
QQQ 0 0 35 1.11 NA NA 
QQQ 1 0 31 1.11 NA NA 
QQQ 2 0 34 1.11 NA NA 
QQQ 3 0 29 1.11 NA NA 
QQQ 4 0 31 1.11 NA NA 
QQQ 5 0 26 1.11 NA NA 
QQQ 6 0 31 1.11 NA NA 
QQQ 7 0 37 1.11 NA NA 
QQQ 0 1 30 1.11 NA NA 
QQQ 1 1 30 1.11 NA NA 
QQQ 2 1 27 1.11 NA NA 
QQQ 3 1 31 1.11 NA NA 
QQQ 4 1 30 1.11 NA NA 
QQQ 5 1 24 1.11 NA NA 
QQQ 6 1 29 1.11 NA NA 
QQQ 7 1 21 1.11 NA NA 
QQQ 0 0 35 1.21 NA NA 
QQQ 1 0 32 1.21 NA NA 
QQQ 2 0 34 1.21 NA NA 
QQQ 3 0 29 1.21 NA NA 
QQQ 4 0 31 1.21 NA NA 
QQQ 5 0 26 1.21 NA NA 
QQQ 6 0 33 1.21 NA NA 
QQQ 7 0 37 1.21 NA NA 
QQQ 0 1 30 1.21 NA NA 
QQQ 1 1 30 1.21 NA NA 
QQQ 2 1 28 1.21 NA NA 
QQQ 3 1 32 1.21 NA NA 
QQQ 4 1 31 1.21 NA NA 
QQQ 5 1 24 1.21 NA NA 
QQQ 6 1 28 1.21 NA NA 
QQQ 7 1 22 1.21 NA NA 
QQQ 0 0 36 1.31 NA NA 
QQQ 1 0 31 1.31 NA NA 
QQQ 2 0 35 1.31 NA NA 
QQQ 3 0 29 1.31 NA NA 
QQQ 4 0 31 1.31 NA NA 
QQQ 5 0 26 1.31 NA NA 
QQQ 6 0 33 1.31 NA NA 
QQQ 7 0 36 1.31 NA NA 
QQQ 0 1 30 1.31 NA NA 
QQQ 1 1 29 1.31 NA NA 
QQQ 2 1 28 1.31 NA NA 
QQQ 3 1 32 1.31 NA NA 
QQQ 4 1 30 1.31 NA NA 
QQQ 5 1 24 1.31 NA NA 
QQQ 6 1 29 1.31 NA NA 
QQQ 7 1 20 1.31 NA NA 
QQQ 0 0 35 1.41 NA NA 
QQQ 1 0 32 1.41 NA NA 
QQQ 2 0 35 1.41 NA NA 
QQQ 3 0 28 1.41 NA NA 
QQQ 4 0 31 1.41 NA NA 
QQQ 5 0 26 1.41 NA NA 
QQQ 6 0 33 1.41 NA NA 
QQQ 7 0 37 1.41 NA NA 
QQQ 0 1 30 1.41 NA NA 
QQQ 1 1 29 1.41 NA NA 
QQQ 2 1 27 1.41 NA NA 
QQQ 3 1 32 1.41 NA NA 
QQQ 4 1 30 1.41 NA NA 
QQQ 5 1 24 1.41 NA NA 
QQQ 6 1 28 1.41 NA NA 
QQQ 7 1 22 1.41 NA NA 
QQQ 0 0 36 1.51 NA NA 
QQQ 1 0 31 1.51 NA NA 
QQQ 2 0 35 1.51 NA NA 
QQQ 3 0 29 1.51 NA NA 
QQQ 4 0 31 1.51 NA NA 
QQQ 5 0 26 1.51 NA NA 
QQQ 6 0 33 1.51 NA NA 
QQQ 7 0 37 1.51 NA NA 
QQQ 0 1 29 1.51 NA NA 
QQQ 1 1 30 1.51 NA NA 
QQQ 2 1 27 1.51 NA NA 
QQQ 3 1 31 1.51 NA NA 
QQQ 4 1 29 1.51 NA NA 
QQQ 5 1 24 1.51 NA NA 
QQQ 6 1 29 1.51 NA NA 
QQQ 7 1 21 1.51 NA NA 
QQQ 0 0 36 1.61 NA NA 
QQQ 1 0 31 1.61 NA NA 
QQQ 2 0 35 1.61 NA NA 
QQQ 3 0 29 1.61 NA NA 
QQQ 4 0 30 1.61 NA NA 
QQQ 5 0 26 1.61 NA NA 
QQQ 6 0 33 1.61 NA NA 
QQQ 7 0 36 1.61 NA NA 
QQQ 0 1 30 1.61 NA NA 
QQQ 1 1 30 1.61 NA NA 
QQQ 2 1 27 1.61 NA NA 
QQQ 3 1 32 1.61 NA NA 
QQQ 4 1 30 1.61 NA NA 
QQQ 5 1 24 1.61 NA NA 
QQQ 6 1 29 1.61 NA NA 
QQQ 7 1 20 1.61 NA NA 
QQQ 0 0 35 1.71 NA NA 
QQQ 1 0 31 1.71 NA NA 
QQQ 2 0 35 1.71 NA NA 
QQQ 3 0 29 1.71 NA NA 
QQQ 4 0 31 1.71 NA NA 
QQQ 5 0 27 1.71 NA NA 
QQQ 6 0 32 1.71 NA NA 
QQQ 7 0 37 1.71 NA NA 
QQQ 0 1 30 1.71 NA NA 
QQQ 1 1 30 1.71 NA NA 
QQQ 2 1 27 1.71 NA NA 
QQQ 3 1 32 1.71 NA NA 
QQQ 4 1 30 1.71 NA NA 
QQQ 5 1 24 1.71 NA NA 
QQQ 6 1 28 1.71 NA NA 
QQQ 7 1 20 1.71 NA NA 
QQQ 0 0 36 1.81 NA NA 
QQQ 1 0 32 1.81 NA NA 
QQQ 2 0 35 1.81 NA NA 
QQQ 3 0 28 1.81 NA NA 
QQQ 4 0 32 1.81 NA NA 
QQQ 5 0 26 1.81 NA NA 
QQQ 6 0 33 1.81 NA NA 
QQQ 7 0 37 1.81 NA NA 
QQQ 0 1 30 1.81 NA NA 
QQQ 1 1 29 1.81 NA NA 
QQQ 2 1 27 1.81 NA NA 
QQQ 3 1 32 1.81 NA NA 
QQQ 4 1 31 1.81 NA NA 
QQQ 5 1 24 1.81 NA NA 
QQQ 6 1 28 1.81 NA NA 
QQQ 7 1 21 1.81 NA NA 
QQQ 0 0 36 1.91 NA NA 
QQQ 1 0 33 1.91 NA NA 
QQQ 2 0 35 1.91 NA NA 
QQQ 3 0 30 1.91 NA NA 
QQQ 4 0 32 1.91 NA NA 
QQQ 5 0 26 1.91 NA NA 
QQQ 6 0 33 1.91 NA NA 
QQQ 7 0 37 1.91 NA NA 
QQQ 0 1 30 1.91 NA NA 
QQQ 1 1 31 1.91 NA NA 
QQQ 2 1 27 1.91 NA NA 
QQQ 3 1 31 1.91 NA NA 
QQQ 4 1 31 1.91 NA NA 
QQQ 5 1 25 1.91 NA NA 
QQQ 6 1 28 1.91 NA NA 
QQQ 7 1 22 1.91 NA NA 
QQQ 0 0 36 2.01 NA NA 
QQQ 1 0 33 2.01 NA NA 
QQQ 2 0 35 2.01 NA NA 
QQQ 3 0 28 2.01 NA NA 
QQQ 4 0 31 2.01 NA NA 
QQQ 5 0 27 2.01 NA NA 
QQQ 6 0 33 2.02 NA NA 
QQQ 7 0 37 2.02 NA NA 
QQQ 0 1 30 2.02 NA NA 
QQQ 1 1 30 2.02 NA NA 
QQQ 2 1 27 2.02 NA NA 
QQQ 3 1 32 2.02 NA NA 
QQQ 4 1 30 2.02 NA NA 
QQQ 5 1 24 2.02 NA NA 
QQQ 6 1 28 2.02 NA NA 
QQQ 7 1 20 2.02 NA NA 
QQQ 0 0 36 2.12 NA NA 
QQQ 1 0 32 2.12 NA NA 
QQQ 2 0 35 2.12 NA NA 
QQQ 3 0 29 2.12 NA NA 
QQQ 4 0 31 2.12 NA NA 
QQQ 5 0 27 2.12 NA NA 
QQQ 6 0 33 2.12 NA NA 
QQQ 7 0 37 2.12 NA NA 
QQQ 0 1 30 2.12 NA NA 
QQQ 1 1 30 2.12 NA NA 
QQQ 2 1 27 2.12 NA NA 
QQQ 3 1 31 2.12 NA NA 
QQQ 4 1 30 2.12 NA NA 
QQQ 5 1 23 2.12 NA NA 
QQQ 6 1 28 2.12 NA NA 
QQQ 7 1 21 2.12 NA NA 
QQQ 0 0 35 2.22 NA NA 
QQQ 1 0 32 2.22 NA NA 
QQQ 2 0 35 2.22 NA NA 
QQQ 3 0 30 2.22 NA NA 
QQQ 4 0 31 2.22 NA NA 
QQQ 5 0 26 2.22 NA NA 
QQQ 6 0 33 2.22 NA NA 
QQQ 7 0 37 2.22 NA NA 
QQQ 0 1 30 2.22 NA NA 
QQQ 1 1 30 2.22 NA NA 
QQQ 2 1 26 2.22 NA NA 
QQQ 3 1 31 2.22 NA NA 
QQQ 4 1 30 2.22 NA NA 
QQQ 5 1 24 2.22 NA NA 
QQQ 6 1 29 2.22 NA NA 
QQQ 7 1 21 2.22 NA NA 
QQQ 0 0 36 2.32 NA NA 
QQQ 1 0 32 2.32 NA NA 
QQQ 2 0 35 2.32 NA NA 
QQQ 3 0 29 2.32 NA NA 
QQQ 4 0 31 2.32 NA NA 
QQQ 5 0 27 2.32 NA NA 
QQQ 6 0 33 2.32 NA NA 
QQQ 7 0 37 2.32 NA NA 
QQQ 0 1 30 2.32 NA NA 
QQQ 1 1 30 2.32 NA NA 
QQQ 2 1 27 2.32 NA NA 
QQQ 3 1 32 2.32 NA NA 
QQQ 4 1 31 2.32 NA NA 
QQQ 5 1 24 2.32 NA NA 
QQQ 6 1 28 2.32 NA NA 
QQQ 7 1 22 2.32 NA NA 
QQQ 0 0 36 2.42 NA NA 
QQQ 1 0 32 2.42 NA NA 
QQQ 2 0 36 2.42 NA NA 
QQQ 3 0 30 2.42 NA NA 
QQQ 4 0 31 2.42 NA NA 
QQQ 5 0 27 2.42 NA NA 
QQQ 6 0 33 2.42 NA NA 
QQQ 7 0 38 2.42 NA NA 
QQQ 0 1 30 2.42 NA NA 
QQQ 1 1 29 2.42 NA NA 
QQQ 2 1 28 2.42 NA NA 
QQQ 3 1 32 2.42 NA NA 
QQQ 4 1 30 2.42 NA NA 
QQQ 5 1 24 2.42 NA NA 
QQQ 6 1 28 2.42 NA NA 
QQQ 7 1 21 2.42 NA NA 
QQQ 0 0 36 2.52 NA NA 
QQQ 1 0 32 2.52 NA NA 
QQQ 2 0 35 2.52 NA NA 
QQQ 3 0 30 2.52 NA NA 
QQQ 4 0 31 2.52 NA NA 
QQQ 5 0 28 2.52 NA NA 
QQQ 6 0 33 2.52 NA NA 
QQQ 7 0 37 2.52 NA NA 
QQQ 0 1 30 2.52 NA NA 
QQQ 1 1 29 2.52 NA NA 
QQQ 2 1 28 2.52 NA NA 
QQQ 3 1 32 2.52 NA NA 
QQQ 4 1 30 2.52 NA NA 
QQQ 5 1 24 2.52 NA NA 
QQQ 6 1 28 2.52 NA NA 
QQQ 7 1 21 2.52 NA NA 
QQQ 0 0 36 2.62 NA NA 
QQQ 1 0 32 2.62 NA NA 
QQQ 2 0 36 2.62 NA NA 
QQQ 3 0 29 2.62 NA NA 
QQQ 4 0 31 2.62 NA NA 
QQQ 5 0 28 2.62 NA NA 
QQQ 6 0 33 2.62 NA NA 
QQQ 7 0 37 2.62 NA NA 
QQQ 0 1 30 2.62 NA NA 
QQQ 1 1 29 2.62 NA NA 
QQQ 2 1 26 2.62 NA NA 
QQQ 3 1 31 2.62 NA NA 
QQQ 4 1 30 2.62 NA NA 
QQQ 5 1 24 2.62 NA NA 
QQQ 6 1 28 2.62 NA NA 
QQQ 7 1 21 2.62 NA NA 
QQQ 0 0 36 2.72 NA NA 
QQQ 1 0 32 2.72 NA NA 
QQQ 2 0 36 2.72 NA NA 
QQQ 3 0 29 2.72 NA NA 
QQQ 4 0 31 2.72 NA NA 
QQQ 5 0 27 2.72 NA NA 
QQQ 6 0 33 2.72 NA NA 
QQQ 7 0 37 2.72 NA NA 
QQQ 0 1 30 2.72 NA NA 
QQQ 1 1 30 2.72 NA NA 
QQQ 2 1 28 2.72 NA NA 
QQQ 3 1 32 2.72 NA NA 
QQQ 4 1 30 2.72 NA NA 
QQQ 5 1 24 2.72 NA NA 
QQQ 6 1 28 2.72 NA NA 
QQQ 7 1 21 2.72 NA NA 
QQQ 0 0 36 2.82 NA NA 
QQQ 1 0 32 2.82 NA NA 
QQQ 2 0 36 2.82 NA NA 
QQQ 3 0 29 2.82 NA NA 
QQQ 4 0 32 2.82 NA NA 
QQQ 5 0 27 2.82 NA NA 
QQQ 6 0 33 2.82 NA NA 
QQQ 7 0 37 2.82 NA NA 
QQQ 0 1 30 2.82 NA NA 
QQQ 1 1 29 2.82 NA NA 
QQQ 2 1 27 2.82 NA NA 
QQQ 3 1 32 2.82 NA NA 
QQQ 4 1 30 2.82 NA NA 
QQQ 5 1 24 2.82 NA NA 
QQQ 6 1 27 2.82 NA NA 
QQQ 7 1 21 2.82 NA NA 
QQQ 0 0 36 2.92 NA NA 
QQQ 1 0 33 2.92 NA NA 
QQQ 2 0 35 2.92 NA NA 
QQQ 3 0 29 2.92 NA NA 
QQQ 4 0 31 2.92 NA NA 
QQQ 5 0 26 2.92 NA NA 
QQQ 6 0 33 2.92 NA NA 
QQQ 7 0 38 2.92 NA NA 
QQQ 0 1 30 2.92 NA NA 
QQQ 1 1 29 2.92 NA NA 
QQQ 2 1 26 2.92 NA NA 
QQQ 3 1 32 2.92 NA NA 
QQQ 4 1 31 2.92 NA NA 
QQQ 5 1 25 2.92 NA NA 
QQQ 6 1 29 2.92 NA NA 
QQQ 7 1 21 2.92 NA NA 
QQQ 0 0 36 3.02 NA NA 
QQQ 1 0 33 3.02 NA NA 
QQQ 2 0 36 3.02 NA NA 
QQQ 3 0 30 3.02 NA NA 
QQQ 4 0 31 3.02 NA NA 
QQQ 5 0 27 3.02 NA NA 
QQQ 6 0 33 3.02 NA NA 
QQQ 7 0 38 3.02 NA NA 
QQQ 0 1 30 3.02 NA NA 
QQQ 1 1 30 3.02 NA NA 
QQQ 2 1 27 3.02 NA NA 
QQQ 3 1 31 3.02 NA NA 
QQQ 4 1 30 3.02 NA NA 
QQQ 5 1 25 3.02 NA NA 
QQQ 6 1 27 3.02 NA NA 
QQQ 7 1 22 3.02 NA NA 
QQQ 0 0 37 3.12 NA NA 
QQQ 1 0 33 3.12 NA NA 
QQQ 2 0 36 3.12 NA NA 
QQQ 3 0 30 3.12 NA NA 
QQQ 4 0 32 3.12 NA NA 
QQQ 5 0 27 3.12 NA NA 
QQQ 6 0 33 3.12 NA NA 
QQQ 7 0 37 3.12 NA NA 
QQQ 0 1 30 3.12 NA NA 
QQQ 1 1 30 3.12 NA NA 
QQQ 2 1 26 3.12 NA NA 
QQQ 3 1 32 3.12 NA NA 
QQQ 4 1 30 3.12 NA NA 
QQQ 5 1 24 3.12 NA NA 
QQQ 6 1 27 3.12 NA NA 
QQQ 7 1 21 3.12 NA NA 
QQQ 0 0 36 3.22 NA NA 
QQQ 1 0 33 3.22 NA NA 
QQQ 2 0 35 3.22 NA NA 
QQQ 3 0 29 3.22 NA NA 
QQQ 4 0 31 3.22 NA NA 
QQQ 5 0 28 3.22 NA NA 
QQQ 6 0 33 3.22 NA NA 
QQQ 7 0 38 3.22 NA NA 
QQQ 0 1 29 3.22 NA NA 
QQQ 1 1 30 3.22 NA NA 
QQQ 2 1 27 3.22 NA NA 
QQQ 3 1 31 3.22 NA NA 
QQQ 4 1 30 3.22 NA NA 
QQQ 5 1 24 3.22 NA NA 
QQQ 6 1 27 3.22 NA NA 
QQQ 7 1 21 3.22 NA NA 
QQQ 0 0 36 3.32 NA NA 
QQQ 1 0 33 3.32 NA NA 
QQQ 2 0 35 3.32 NA NA 
QQQ 3 0 30 3.32 NA NA 
QQQ 4 0 31 3.32 NA NA 
QQQ 5 0 27 3.32 NA NA 
QQQ 6 0 34 3.32 NA NA 
QQQ 7 0 38 3.32 NA NA 
QQQ 0 1 30 3.32 NA NA 
QQQ 1 1 29 3.32 NA NA 
QQQ 2 1 26 3.32 NA NA 
QQQ 3 1 31 3.32 NA NA 
QQQ 4 1 31 3.32 NA NA 
QQQ 5 1 24 3.32 NA NA 
QQQ 6 1 28 3.32 NA NA 
QQQ 7 1 21 3.32 NA NA 
QQQ 0 0 37 3.42 NA NA 
QQQ 1 0 32 3.42 NA NA 
QQQ 2 0 35 3.43 NA NA 
QQQ 3 0 29 3.43 NA NA 
QQQ 4 0 31 3.43 NA NA 
QQQ 5 0 28 3.43 NA NA 
QQQ 6 0 34 3.43 NA NA 
QQQ 7 0 37 3.43 NA NA 
QQQ 0 1 29 3.43 NA NA 
QQQ 1 1 30 3.43 NA NA 
QQQ 2 1 26 3.43 NA NA 
QQQ 3 1 31 3.43 NA NA 
QQQ 4 1 31 3.43 NA NA 
QQQ 5 1 24 3.43 NA NA 
QQQ 6 1 27 3.43 NA NA 
QQQ 7 1 21 3.43 NA NA 
QQQ 0 0 37 3.53 NA NA 
QQQ 1 0 33 3.53 NA NA 
QQQ 2 0 36 3.53 NA NA 
QQQ 3 0 30 3.53 NA NA 
QQQ 4 0 32 3.53 NA NA 
QQQ 5 0 26 3.53 NA NA 
QQQ 6 0 33 3.53 NA NA 
QQQ 7 0 37 3.53 NA NA 
QQQ 0 1 29 3.53 NA NA 
QQQ 1 1 30 3.53 NA NA 
QQQ 2 1 28 3.53 NA NA 
QQQ 3 1 31 3.53 NA NA 
QQQ 4 1 31 3.53 NA NA 
QQQ 5 1 25 3.53 NA NA 
QQQ 6 1 27 3.53 NA NA 
QQQ 7 1 21 3.53 NA NA 
QQQ 0 0 37 3.63 NA NA 
QQQ 1 0 33 3.63 NA NA 
QQQ 2 0 35 3.63 NA NA 
QQQ 3 0 30 3.63 NA NA 
QQQ 4 0 32 3.63 NA NA 
QQQ 5 0 27 3.63 NA NA 
QQQ 6 0 33 3.63 NA NA 
QQQ 7 0 38 3.63 NA NA 
QQQ 0 1 30 3.63 NA NA 
QQQ 1 1 30 3.63 NA NA 
QQQ 2 1 28 3.63 NA NA 
QQQ 3 1 32 3.63 NA NA 
QQQ 4 1 31 3.63 NA NA 
QQQ 5 1 24 3.63 NA NA 
QQQ 6 1 28 3.63 NA NA 
QQQ 7 1 21 3.63 NA NA 
QQQ 0 0 37 3.73 NA NA 
QQQ 1 0 32 3.73 NA NA 
QQQ 2 0 34 3.73 NA NA 
QQQ 3 0 30 3.73 NA NA 
QQQ 4 0 32 3.73 NA NA 
QQQ 5 0 27 3.73 NA NA 
QQQ 6 0 33 3.73 NA NA 
QQQ 7 0 38 3.73 NA NA 
QQQ 0 1 30 3.73 NA NA 
QQQ 1 1 30 3.73 NA NA 
QQQ 2 1 27 3.73 NA NA 
QQQ 3 1 31 3.73 NA NA 
QQQ 4 1 31 3.73 NA NA 
QQQ 5 1 24 3.73 NA NA 
QQQ 6 1 28 3.73 NA NA 
QQQ 7 1 21 3.73 NA NA 
QQQ 0 0 37 3.83 NA NA 
QQQ 1 0 33 3.83 NA NA 
QQQ 2 0 35 3.83 NA NA 
QQQ 3 0 30 3.83 NA NA 
QQQ 4 0 31 3.83 NA NA 
QQQ 5 0 27 3.83 NA NA 
QQQ 6 0 34 3.83 NA NA 
QQQ 7 0 38 3.83 NA NA 
QQQ 0 1 30 3.83 NA NA 
QQQ 1 1 29 3.83 NA NA 
QQQ 2 1 27 3.83 NA NA 
QQQ 3 1 32 3.83 NA NA 
QQQ 4 1 30 3.83 NA NA 
QQQ 5 1 24 3.83 NA NA 
QQQ 6 1 28 3.83 NA NA 
QQQ 7 1 20 3.83 NA NA 
QQQ 0 0 36 3.93 NA NA 
QQQ 1 0 33 3.93 NA NA 
QQQ 2 0 36 3.93 NA NA 
QQQ 3 0 30 3.93 NA NA 
QQQ 4 0 32 3.93 NA NA 
QQQ 5 0 27 3.93 NA NA 
QQQ 6 0 33 3.93 NA NA 
QQQ 7 0 38 3.93 NA NA 
QQQ 0 1 30 3.93 NA NA 
QQQ 1 1 29 3.93 NA NA 
QQQ 2 1 27 3.93 NA NA 
QQQ 3 1 31 3.93 NA NA 
QQQ 4 1 30 3.93 NA NA 
QQQ 5 1 24 3.93 NA NA 
QQQ 6 1 28 3.93 NA NA 
QQQ 7 1 20 3.93 NA NA 
QQQ 0 0 37 4.03 NA NA 
QQQ 1 0 33 4.03 NA NA 
QQQ 2 0 36 4.03 NA NA 
QQQ 3 0 29 4.03 NA NA 
QQQ 4 0 32 4.03 NA NA 
QQQ 5 0 28 4.03 NA NA 
QQQ 6 0 33 4.03 NA NA 
QQQ 7 0 38 4.03 NA NA 
QQQ 0 1 30 4.03 NA NA 
QQQ 1 1 30 4.03 NA NA 
QQQ 2 1 28 4.03 NA NA 
QQQ 3 1 32 4.03 NA NA 
QQQ 4 1 30 4.03 NA NA 
QQQ 5 1 24 4.03 NA NA 
QQQ 6 1 28 4.03 NA NA 
QQQ 7 1 21 4.03 NA NA 
QQQ 0 0 37 4.13 NA NA 
QQQ 1 0 33 4.13 NA NA 
QQQ 2 0 36 4.13 NA NA 
QQQ 3 0 31 4.13 NA NA 
QQQ 4 0 32 4.13 NA NA 
QQQ 5 0 27 4.13 NA NA 
QQQ 6 0 33 4.13 NA NA 
QQQ 7 0 38 4.13 NA NA 
