Q core socket tempC time
QQQ 4 0 33 1.31
QQQ 5 0 28 1.31
QQQ 6 0 34 1.31
QQQ 7 0 38 1.31
QQQ 0 1 30 1.31
QQQ 1 1 30 1.31
QQQ 2 1 27 1.31
QQQ 3 1 32 1.31
QQQ 4 1 31 1.31
QQQ 5 1 26 1.31
QQQ 6 1 28 1.31
QQQ 7 1 22 1.31
QQQ 0 0 38 1.41
QQQ 1 0 33 1.41
QQQ 2 0 38 1.41
QQQ 3 0 31 1.41
QQQ 4 0 33 1.41
QQQ 5 0 27 1.41
QQQ 6 0 34 1.41
QQQ 7 0 39 1.41
QQQ 0 1 30 1.41
QQQ 1 1 29 1.41
QQQ 2 1 27 1.41
QQQ 3 1 31 1.41
QQQ 4 1 30 1.41
QQQ 5 1 27 1.41
QQQ 6 1 28 1.41
QQQ 7 1 21 1.41
QQQ 0 0 38 1.51
QQQ 1 0 34 1.51
QQQ 2 0 37 1.51
QQQ 3 0 31 1.51
QQQ 4 0 32 1.51
QQQ 5 0 27 1.51
QQQ 6 0 34 1.51
QQQ 7 0 39 1.51
QQQ 0 1 30 1.51
QQQ 1 1 29 1.51
QQQ 2 1 27 1.51
QQQ 3 1 31 1.51
QQQ 4 1 29 1.51
QQQ 5 1 26 1.51
QQQ 6 1 29 1.51
QQQ 7 1 22 1.51
QQQ 0 0 38 1.61
QQQ 1 0 34 1.61
QQQ 2 0 37 1.61
QQQ 3 0 31 1.61
QQQ 4 0 34 1.61
QQQ 5 0 28 1.61
QQQ 6 0 34 1.61
QQQ 7 0 39 1.61
QQQ 0 1 30 1.61
QQQ 1 1 29 1.61
QQQ 2 1 26 1.61
QQQ 3 1 31 1.61
QQQ 4 1 29 1.61
QQQ 5 1 27 1.61
QQQ 6 1 29 1.61
QQQ 7 1 21 1.61
QQQ 0 0 38 1.71
QQQ 1 0 33 1.71
QQQ 2 0 38 1.71
QQQ 3 0 31 1.71
QQQ 4 0 34 1.71
QQQ 5 0 27 1.71
QQQ 6 0 35 1.71
QQQ 7 0 39 1.71
QQQ 0 1 30 1.71
QQQ 1 1 29 1.71
QQQ 2 1 27 1.71
QQQ 3 1 31 1.71
QQQ 4 1 30 1.71
QQQ 5 1 27 1.71
QQQ 6 1 29 1.71
QQQ 7 1 21 1.71
QQQ 0 0 39 1.81
QQQ 1 0 33 1.81
QQQ 2 0 38 1.81
QQQ 3 0 32 1.81
QQQ 4 0 34 1.81
QQQ 5 0 27 1.81
QQQ 6 0 34 1.81
QQQ 7 0 39 1.81
QQQ 0 1 30 1.81
QQQ 1 1 29 1.81
QQQ 2 1 27 1.81
QQQ 3 1 31 1.81
QQQ 4 1 30 1.81
QQQ 5 1 27 1.81
QQQ 6 1 29 1.81
QQQ 7 1 20 1.81
QQQ 0 0 38 1.91
QQQ 1 0 33 1.91
QQQ 2 0 37 1.91
QQQ 3 0 31 1.91
QQQ 4 0 34 1.91
QQQ 5 0 27 1.91
QQQ 6 0 34 1.91
QQQ 7 0 39 1.91
QQQ 0 1 30 1.91
QQQ 1 1 29 1.91
QQQ 2 1 27 1.91
QQQ 3 1 32 1.91
QQQ 4 1 30 1.91
QQQ 5 1 27 1.91
QQQ 6 1 29 1.91
QQQ 7 1 21 1.91
QQQ 0 0 38 2.01
QQQ 1 0 34 2.01
QQQ 2 0 37 2.01
QQQ 3 0 31 2.01
QQQ 4 0 33 2.01
QQQ 5 0 28 2.01
QQQ 6 0 35 2.01
QQQ 7 0 38 2.01
QQQ 0 1 30 2.01
QQQ 1 1 29 2.01
QQQ 2 1 28 2.01
QQQ 3 1 31 2.01
QQQ 4 1 29 2.01
QQQ 5 1 28 2.01
QQQ 6 1 29 2.01
QQQ 7 1 23 2.01
QQQ 0 0 38 2.11
QQQ 1 0 34 2.11
QQQ 2 0 38 2.11
QQQ 3 0 31 2.11
QQQ 4 0 34 2.11
QQQ 5 0 27 2.11
QQQ 6 0 34 2.11
QQQ 7 0 39 2.11
QQQ 0 1 30 2.11
QQQ 1 1 29 2.11
QQQ 2 1 28 2.11
QQQ 3 1 31 2.11
QQQ 4 1 30 2.11
QQQ 5 1 27 2.11
QQQ 6 1 28 2.11
QQQ 7 1 21 2.11
QQQ 0 0 38 2.22
QQQ 1 0 34 2.22
QQQ 2 0 37 2.22
QQQ 3 0 30 2.22
QQQ 4 0 34 2.22
QQQ 5 0 27 2.22
QQQ 6 0 34 2.22
QQQ 7 0 38 2.22
QQQ 0 1 30 2.22
QQQ 1 1 30 2.22
QQQ 2 1 28 2.22
QQQ 3 1 32 2.22
QQQ 4 1 30 2.22
QQQ 5 1 28 2.22
QQQ 6 1 29 2.22
QQQ 7 1 21 2.22
QQQ 0 0 39 2.32
QQQ 1 0 34 2.32
QQQ 2 0 37 2.32
QQQ 3 0 31 2.32
QQQ 4 0 35 2.32
QQQ 5 0 28 2.32
QQQ 6 0 34 2.32
QQQ 7 0 39 2.32
QQQ 0 1 31 2.32
QQQ 1 1 29 2.32
QQQ 2 1 28 2.32
QQQ 3 1 31 2.32
QQQ 4 1 31 2.32
QQQ 5 1 26 2.32
QQQ 6 1 28 2.32
QQQ 7 1 22 2.32
QQQ 0 0 38 2.42
QQQ 1 0 34 2.42
QQQ 2 0 38 2.42
QQQ 3 0 31 2.42
QQQ 4 0 35 2.42
QQQ 5 0 28 2.42
QQQ 6 0 34 2.42
QQQ 7 0 40 2.42
QQQ 0 1 30 2.42
QQQ 1 1 29 2.42
QQQ 2 1 28 2.42
QQQ 3 1 32 2.42
QQQ 4 1 30 2.42
QQQ 5 1 26 2.42
QQQ 6 1 29 2.42
QQQ 7 1 22 2.42
QQQ 0 0 38 2.52
QQQ 1 0 34 2.52
QQQ 2 0 37 2.52
QQQ 3 0 32 2.52
QQQ 4 0 34 2.52
QQQ 5 0 27 2.52
QQQ 6 0 34 2.52
QQQ 7 0 40 2.52
QQQ 0 1 29 2.52
QQQ 1 1 29 2.52
QQQ 2 1 27 2.52
QQQ 3 1 32 2.52
QQQ 4 1 29 2.52
QQQ 5 1 27 2.52
QQQ 6 1 29 2.52
QQQ 7 1 22 2.52
QQQ 0 0 39 2.62
QQQ 1 0 34 2.62
QQQ 2 0 38 2.62
QQQ 3 0 31 2.62
QQQ 4 0 34 2.62
QQQ 5 0 27 2.62
QQQ 6 0 35 2.62
QQQ 7 0 39 2.62
QQQ 0 1 30 2.62
QQQ 1 1 29 2.62
QQQ 2 1 28 2.62
QQQ 3 1 32 2.62
QQQ 4 1 30 2.62
QQQ 5 1 27 2.62
QQQ 6 1 28 2.62
QQQ 7 1 23 2.62
QQQ 0 0 39 2.72
QQQ 1 0 34 2.72
QQQ 2 0 38 2.72
QQQ 3 0 32 2.72
QQQ 4 0 34 2.72
QQQ 5 0 28 2.72
QQQ 6 0 35 2.72
QQQ 7 0 39 2.72
QQQ 0 1 30 2.72
QQQ 1 1 29 2.72
QQQ 2 1 27 2.72
QQQ 3 1 32 2.72
QQQ 4 1 30 2.72
QQQ 5 1 27 2.72
QQQ 6 1 29 2.72
QQQ 7 1 22 2.72
QQQ 0 0 39 2.82
QQQ 1 0 34 2.82
QQQ 2 0 37 2.82
QQQ 3 0 32 2.82
QQQ 4 0 35 2.82
QQQ 5 0 28 2.82
QQQ 6 0 34 2.82
QQQ 7 0 40 2.82
QQQ 0 1 30 2.82
QQQ 1 1 29 2.82
QQQ 2 1 28 2.82
QQQ 3 1 31 2.82
QQQ 4 1 30 2.82
QQQ 5 1 27 2.82
QQQ 6 1 29 2.82
QQQ 7 1 21 2.82
QQQ 0 0 39 2.92
QQQ 1 0 33 2.92
QQQ 2 0 38 2.92
QQQ 3 0 32 2.92
QQQ 4 0 34 2.92
QQQ 5 0 28 2.92
QQQ 6 0 34 2.92
QQQ 7 0 40 2.92
QQQ 0 1 30 2.92
QQQ 1 1 29 2.92
QQQ 2 1 27 2.92
QQQ 3 1 32 2.92
QQQ 4 1 30 2.92
QQQ 5 1 27 2.92
QQQ 6 1 29 2.92
QQQ 7 1 22 2.92
QQQ 0 0 39 3.02
QQQ 1 0 34 3.02
QQQ 2 0 38 3.02
QQQ 3 0 31 3.02
QQQ 4 0 34 3.02
QQQ 5 0 28 3.02
QQQ 6 0 35 3.02
QQQ 7 0 40 3.02
QQQ 0 1 30 3.02
QQQ 1 1 29 3.02
QQQ 2 1 27 3.02
QQQ 3 1 32 3.02
QQQ 4 1 30 3.02
QQQ 5 1 27 3.02
QQQ 6 1 29 3.02
QQQ 7 1 22 3.02
QQQ 0 0 39 3.12
QQQ 1 0 34 3.12
QQQ 2 0 37 3.12
QQQ 3 0 32 3.12
QQQ 4 0 34 3.12
QQQ 5 0 28 3.12
QQQ 6 0 35 3.12
QQQ 7 0 40 3.12
QQQ 0 1 30 3.12
QQQ 1 1 29 3.12
QQQ 2 1 27 3.12
QQQ 3 1 31 3.12
QQQ 4 1 30 3.12
QQQ 5 1 28 3.12
QQQ 6 1 29 3.12
QQQ 7 1 21 3.12
QQQ 0 0 39 3.22
QQQ 1 0 33 3.22
QQQ 2 0 39 3.22
QQQ 3 0 32 3.22
QQQ 4 0 34 3.22
QQQ 5 0 28 3.22
QQQ 6 0 35 3.22
QQQ 7 0 40 3.22
QQQ 0 1 30 3.22
QQQ 1 1 29 3.22
QQQ 2 1 27 3.22
QQQ 3 1 32 3.22
QQQ 4 1 30 3.22
QQQ 5 1 27 3.22
QQQ 6 1 29 3.22
QQQ 7 1 20 3.22
QQQ 0 0 39 3.32
QQQ 1 0 34 3.32
QQQ 2 0 38 3.32
QQQ 3 0 32 3.32
QQQ 4 0 35 3.32
QQQ 5 0 28 3.32
QQQ 6 0 34 3.32
QQQ 7 0 40 3.32
QQQ 0 1 30 3.32
QQQ 1 1 29 3.32
QQQ 2 1 27 3.32
QQQ 3 1 33 3.32
QQQ 4 1 29 3.32
QQQ 5 1 27 3.32
QQQ 6 1 28 3.32
QQQ 7 1 21 3.32
QQQ 0 0 39 3.42
QQQ 1 0 34 3.42
QQQ 2 0 38 3.42
QQQ 3 0 32 3.42
QQQ 4 0 35 3.42
QQQ 5 0 28 3.42
QQQ 6 0 35 3.42
QQQ 7 0 39 3.42
QQQ 0 1 30 3.42
QQQ 1 1 29 3.42
QQQ 2 1 27 3.42
QQQ 3 1 32 3.42
QQQ 4 1 30 3.42
QQQ 5 1 27 3.42
QQQ 6 1 29 3.42
QQQ 7 1 21 3.42
QQQ 0 0 39 3.52
QQQ 1 0 35 3.52
QQQ 2 0 38 3.52
QQQ 3 0 32 3.52
QQQ 4 0 35 3.52
QQQ 5 0 28 3.52
QQQ 6 0 35 3.52
QQQ 7 0 39 3.52
QQQ 0 1 30 3.52
QQQ 1 1 29 3.52
QQQ 2 1 27 3.52
QQQ 3 1 31 3.52
QQQ 4 1 30 3.52
QQQ 5 1 26 3.53
QQQ 6 1 29 3.53
QQQ 7 1 22 3.53
QQQ 0 0 38 3.63
QQQ 1 0 34 3.63
QQQ 2 0 38 3.63
QQQ 3 0 31 3.63
QQQ 4 0 34 3.63
QQQ 5 0 27 3.63
QQQ 6 0 34 3.63
QQQ 7 0 40 3.63
QQQ 0 1 30 3.63
QQQ 1 1 29 3.63
QQQ 2 1 27 3.63
QQQ 3 1 32 3.63
QQQ 4 1 30 3.63
QQQ 5 1 27 3.63
QQQ 6 1 29 3.63
QQQ 7 1 21 3.63
QQQ 0 0 39 3.73
QQQ 1 0 34 3.73
QQQ 2 0 38 3.73
QQQ 3 0 32 3.73
QQQ 4 0 34 3.73
QQQ 5 0 27 3.73
QQQ 6 0 35 3.73
QQQ 7 0 40 3.73
QQQ 0 1 30 3.73
QQQ 1 1 30 3.73
QQQ 2 1 27 3.73
QQQ 3 1 32 3.73
QQQ 4 1 29 3.73
QQQ 5 1 26 3.73
QQQ 6 1 29 3.73
QQQ 7 1 22 3.73
QQQ 0 0 39 3.83
QQQ 1 0 34 3.83
QQQ 2 0 38 3.83
QQQ 3 0 31 3.83
QQQ 4 0 35 3.83
QQQ 5 0 28 3.83
QQQ 6 0 34 3.83
QQQ 7 0 40 3.83
QQQ 0 1 30 3.83
QQQ 1 1 30 3.83
QQQ 2 1 28 3.83
QQQ 3 1 32 3.83
QQQ 4 1 30 3.83
QQQ 5 1 26 3.83
QQQ 6 1 29 3.83
QQQ 7 1 22 3.83
QQQ 0 0 39 3.93
QQQ 1 0 34 3.93
QQQ 2 0 38 3.93
QQQ 3 0 31 3.93
QQQ 4 0 34 3.93
QQQ 5 0 28 3.93
QQQ 6 0 34 3.93
QQQ 7 0 39 3.93
QQQ 0 1 30 3.93
QQQ 1 1 29 3.93
QQQ 2 1 27 3.93
QQQ 3 1 32 3.93
QQQ 4 1 30 3.93
QQQ 5 1 26 3.93
QQQ 6 1 28 3.93
